professor,icr,gcr,ccr,cr,tsw,ps,rwl
kan,4.36,4.375,4.367,4.2,6.69,4.38,4.9
kan,4.48,4.125,4.333333333,4.3,7.052631579,4.368421053,4.5
kan,4.58,4.45,4.4,4.4,7.107142857,4.214285714,4.6
she,4.16,4.25,4,4.2,10.76666667,4.2,4.5
she,3.32,3.35,3.4,4.3,17.25,3.75,3.4
she,3.98,3.875,3.966666667,5,15.18181818,3.545454545,3.5
osb,4.34,4.175,3.833333333,4.1,10.46666667,4.266666667,4
osb,3.98,4.325,3.933333333,4.4,11.72727273,4.090909091,3.8
osb,4.58,4.3,4.133333333,4.4,11.73076923,4.25,3.7
mal,3.8,3.875,3.7,4.1,11,4,3.5
mal,3.76,3.85,3.7,4.4,12.52941176,3.882352941,3.8
mal,3.76,3.95,3.6,4.1,13.88461538,3.461538462,3.8
